pmid,paragraph,abstract,label,registry,trn
31911635,1,"ATP signaling and surface P2X4 receptors are upregulated selectively in neurons and/or glia in various CNS disorders including anxiety, chronic pain, epilepsy, ischemia, and neurodegenerative diseases. However, the cell-specific functions of P2X4 in pathological contexts remain elusive. To elucidate P2X4 functions, we created a conditional transgenic knock-in P2X4 mouse line (Floxed P2X4mCherryIN) allowing the Cre activity-dependent genetic swapping of the internalization motif of P2X4 by the fluorescent mCherry protein to prevent constitutive endocytosis of P2X4. By combining molecular, cellular, electrophysiological, and behavioral approaches, we characterized two distinct knock-in mouse lines expressing noninternalized P2X4mCherryIN either exclusively in excitatory forebrain neurons or in all cells natively expressing P2X4. The genetic substitution of wild-type P2X4 by noninternalized P2X4mCherryIN in both knock-in mouse models did not alter the sparse distribution and subcellular localization of P2X4 but increased the number of P2X4 receptors at the surface of the targeted cells mimicking the pathological increased surface P2X4 state. Increased surface P2X4 density in the hippocampus of knock-in mice altered LTP and LTD plasticity phenomena at CA1 synapses without affecting basal excitatory transmission. Moreover, these cellular events translated into anxiolytic effects and deficits in spatial memory. Our results show that increased surface density of neuronal P2X4 contributes to synaptic deficits and alterations in anxiety and memory functions consistent with the implication of P2X4 in neuropsychiatric and neurodegenerative disorders. Furthermore, these conditional P2X4mCherryIN knock-in mice will allow exploring the cell-specific roles of P2X4 in various physiological and pathological contexts.",NA,NA,NA
32017127,1,"Adult neural plasticity engages mechanisms that change synapse structure and function, yet many of the underlying events bear a striking similarity to processes that occur during the initial establishment of neural circuits during development. It is a long-standing hypothesis that the molecular mechanisms critical for neural development may also regulate synaptic plasticity related to learning and memory in adults. Netrins were initially described as chemoattractant guidance cues that direct cell and axon migration during embryonic development, yet they continue to be expressed by neurons in the adult brain. Recent findings have identified roles for netrin-1 in synaptogenesis during postnatal maturation, and in synaptic plasticity in the adult mammalian brain, regulating AMPA glutamate receptor trafficking at excitatory synapses. These findings provide an example of a conserved developmental guidance cue that is expressed by neurons in the adult brain and functions as a key regulator of activity-dependent synaptic plasticity. Notably, in humans, genetic polymorphisms in netrin-1 and its receptors have been linked to neurodevelopmental and neurodegenerative disorders. The molecular mechanisms associated with the synaptic function of netrin-1 therefore present new therapeutic targets for neuropathologies associated with memory dysfunction. Here, we summarize recent findings that link netrin-1 signalling to synaptic plasticity, and discuss the implications of these discoveries for the neurobiological basis of memory consolidation.",NA,NA,NA
32161362,1,"APOEε4 is the most well-established genetic risk factor for sporadic Alzheimer's disease and is associated with cerebral amyloid-β. However, the association between APOEε4 and tau pathology, the other major proteinopathy of Alzheimer's disease, has been controversial. Here, we sought to determine whether the relationship between APOEε4 and tau pathology is determined by local interactions with amyloid-β. We examined three independent samples of cognitively unimpaired, mild cognitive impairment and Alzheimer's disease subjects: (1) 211 participants who underwent tau-PET with [18F]MK6240 and amyloid-PET with [18F]AZD4694, (2) 264 individuals who underwent tau-PET with [18F]Flortaucipir and amyloid-PET with [18F]Florbetapir and (3) 487 individuals who underwent lumbar puncture and amyloid-PET with [18F]Florbetapir. Using a novel analytical framework, we applied voxel-wise regression models to assess the interactive effect of APOEε4 and amyloid-β on tau load, independently of age and clinical diagnosis. We found that the interaction effect between APOEε4 and amyloid-β, rather than the sum of their independent effects, was related to increased tau load in Alzheimer's disease-vulnerable regions. The interaction between one APOEε4 allele and amyloid-β was related to increased tau load, while the interaction between amyloid-β and two APOEε4 alleles was related to a more widespread pattern of tau aggregation. Our results contribute to an emerging framework in which the elevated risk of developing dementia conferred by APOEε4 genotype involves mechanisms associated with both amyloid-β and tau aggregation. These results may have implications for future disease-modifying therapeutic trials targeting amyloid or tau pathologies.",NA,NA,NA
32202199,1,"Diffusely abnormal white matter (DAWM) regions are observed in magnetic resonance images of secondary progressive multiple sclerosis (SPMS) patients. However, their role in clinical progression is still not established.",BACKGROUND,NA,NA
32202199,2,To characterize the longitudinal volumetric and intensity evolution of DAWM and focal white matter lesions (FWML) and assess their associations with clinical outcomes and progression in SPMS.,OBJECTIVES,NA,NA
32202199,3,Data include 589 SPMS participants followed up for 3 years (3951 time points). FWML and DAWM were automatically segmented. Screening DAWM volumes that transformed into FWML at the last visit (DAWM-to-FWML) and normalized T1-weighted intensities (indicating severity of damage) in those voxels were calculated.,METHODS,NA,NA
32202199,4,"FWML volume increased and DAWM volume decreased with an increase in disease duration (p < 0.001). The Expanded Disability Status Scale (EDSS) was positively associated with FWML volumes (p = 0.002), but not with DAWM. DAWM-to-FWML volume was higher in patients who progressed (2.75 cm3 vs. 1.70 cm3; p < 0.0001). Normalized T1-weighted intensity of DAWM-to-FWML was negatively associated with progression (p < 0.00001).",RESULTS,NA,NA
32202199,5,"DAWM transformed into FWML over time, and this transformation was associated with clinical progression. DAWM-to-FWML voxels had greater normalized T1-weighted intensity decrease over time, in keeping with relatively greater tissue damage. Evaluation of DAWM in progressive multiple sclerosis provides a useful measure for therapies aiming to protect this at-risk tissue with the potential to slow progression.",CONCLUSION,NA,NA
32203155,1,"Lithium is a first-line medication for bipolar disorder (BD), but only one in three patients respond optimally to the drug. Since evidence shows a strong clinical and genetic overlap between depression and bipolar disorder, we investigated whether a polygenic susceptibility to major depression is associated with response to lithium treatment in patients with BD. Weighted polygenic scores (PGSs) were computed for major depression (MD) at different GWAS p value thresholds using genetic data obtained from 2586 bipolar patients who received lithium treatment and took part in the Consortium on Lithium Genetics (ConLi+Gen) study. Summary statistics from genome-wide association studies in MD (135,458 cases and 344,901 controls) from the Psychiatric Genomics Consortium (PGC) were used for PGS weighting. Response to lithium treatment was defined by continuous scores and categorical outcome (responders versus non-responders) using measurements on the Alda scale. Associations between PGSs of MD and lithium treatment response were assessed using a linear and binary logistic regression modeling for the continuous and categorical outcomes, respectively. The analysis was performed for the entire cohort, and for European and Asian sub-samples. The PGSs for MD were significantly associated with lithium treatment response in multi-ethnic, European or Asian populations, at various p value thresholds. Bipolar patients with a low polygenic load for MD were more likely to respond well to lithium, compared to those patients with high polygenic load [lowest vs highest PGS quartiles, multi-ethnic sample: OR = 1.54 (95% CI: 1.18-2.01) and European sample: OR = 1.75 (95% CI: 1.30-2.36)]. While our analysis in the Asian sample found equivalent effect size in the same direction: OR = 1.71 (95% CI: 0.61-4.90), this was not statistically significant. Using PGS decile comparison, we found a similar trend of association between a high genetic loading for MD and lower response to lithium. Our findings underscore the genetic contribution to lithium response in BD and support the emerging concept of a lithium-responsive biotype in BD.",NA,NA,NA
32324064,1,"Objective: The purpose of the study was to identify profiles and predictors of academic and social functioning in a sample of school-age children with autism spectrum disorder.Method: The study included 178 children (88% boys, 75% Caucasian, ages 10-11) who completed a standardized measure of academic skills and whose teachers completed a related measure. Measures of both academic and social performance were used to construct profiles of school functioning. Measures of language, nonverbal IQ, autism symptom severity, behavior difficulties, and early social-communication skills between ages 3 and 4 were used to examine predictors of profile membership. Latent Profile Analysis was used to identify and describe profiles of children's academic and social school functioning. Profile membership was then regressed on each of the predictors using a series of multinomial logistic regression models. Finally, a multivariate model that included all significant predictors was built to examine the best fitting constellation of profile predictors.Results: Four profiles - reflecting variation in academic achievement, school engagement, socialization skills, pragmatic language use, and social relationships - captured the diverse school functioning outcomes of the sample. Profile membership was predicted by variation in imitation, responding to joint attention, language ability, nonverbal IQ and behavior difficulties between ages 3 and 4 years. However, in a multivariate model, only language and behavior difficulties emerged as significant predictors.Conclusions: A person-centered approach to targeted early intervention that reduces behavior difficulties and enhances social-communication and language abilities may prove especially important for the promotion of later academic and social functioning at school.",NA,NA,NA
