pmid,registry,trn_detected,n_detected,source,trn_cleaned
32203155,ClinicalTrials.gov,NCT00001174,1,secondary_id,NCT00001174
32969758,ClinicalTrials.gov,NCT03160898,1,secondary_id,NCT03160898
33272131,ClinicalTrials.gov,NCT02687191,1,secondary_id,NCT02687191
33307998,ClinicalTrials.gov,NCT00906399,1,secondary_id,NCT00906399
33338829,ClinicalTrials.gov,NCT00957684,1,secondary_id,NCT00957684
33338829,ClinicalTrials.gov,NCT00957047,2,secondary_id,NCT00957047
33338829,ClinicalTrials.gov,NCT00988429,3,secondary_id,NCT00988429
33357512,ClinicalTrials.gov,NCT01257828,1,secondary_id,NCT01257828
33416500,ClinicalTrials.gov,NCT02908815,1,secondary_id,NCT02908815
33454584,ClinicalTrials.gov,NCT02294058,1,secondary_id,NCT02294058
33827960,ClinicalTrials.gov,NCT02365922,1,secondary_id,NCT02365922
33827960,ClinicalTrials.gov,NCT02372773,2,secondary_id,NCT02372773
33890515,ClinicalTrials.gov,NCT01746342,1,secondary_id,NCT01746342
34218726,ClinicalTrials.gov,NCT03160898,1,secondary_id,NCT03160898
34416849,ClinicalTrials.gov,NCT04345484,1,secondary_id,NCT04345484
34418400,ClinicalTrials.gov,NCT03889639,1,secondary_id,NCT03889639
34418400,EudraCT,2018-003927-12,2,secondary_id,2018-003927-12
34426551,ClinicalTrials.gov,NCT02405182,1,secondary_id,NCT02405182
34476128,ClinicalTrials.gov,NCT04259255,1,secondary_id,NCT04259255
34493525,ClinicalTrials.gov,NCT04868591,1,secondary_id,NCT04868591
34536404,ClinicalTrials.gov,NCT03948178,1,secondary_id,NCT03948178
34536404,ClinicalTrials.gov,NCT03505021,2,secondary_id,NCT03505021
34761647,ClinicalTrials.gov,NCT01925742,1,secondary_id,NCT01925742
34800398,ClinicalTrials.gov,NCT02201108,1,secondary_id,NCT02201108
34816762,ClinicalTrials.gov,NCT04057898,1,secondary_id,NCT04057898
